col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
Doncaster,Walter Shirley Shirley,Shirley,William Henry Wentworth-FitzWilliam,H. Wentworth-FitzWilliam,Fleming,Fleming,Fison,Fison,Fison,Fison,Fison,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson,C. Nicholson
Rotherham,"Sir Arthur Acland, 13th Baronet","Sir Arthur Acland, 13th Baronet",Arthur Dyke Acland,Arthur Acland,"Sir Arthur Acland, 13th Baronet",Arthur Dyke Acland,Arthur Dyke Acland,Dyke Acland,"William Henry Holland, 1st Baron Rotherham",Holland,Holland,Holland,Holland,Holland,Holland,Pease,Pease,Joseph Albert Pease,Pease,"Joseph Albert Pease, 1st Baron Gainford",Pease,Richardson
Barnsley,Kenny,Kenny,Kenny,Compton,Compton,Compton,Compton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton,Walton
Sheffield Attercliffe,Bernard John Seymour Coleridge,Coleridge,Coleridge,Coleridge,Coleridge,Batty Langley,Langley,Langley,Batty Langley,Langley,Batty Langley,Langley,Batty Langley,Pointer,Pointer,Pointer,Pointer,Pointer,Anderson,Anderson,Anderson,Anderson
Sheffield Brightside,Mundella,Mundella,Mundella,Mundella,Anthony John Mundella,Rt. Hon. Anthony John Mundella,Mundella,Maddison,Maddison,Hope,Hope,Sir John Tudor Walters,Walters,Walters,Walters,Walters,Walters,Walters,Sir John Tudor Walters,Sir John Tudor Walters,Sir John Tudor Walters,Sir John Tudor Walters
Sheffield Central,Charles Edward Howard Vincent,Vincent,Vincent,Charles Edward Howard Vincent,Vincent,Vincent,Vincent,Vincent,Vincent,Vincent,Vincent,Vincent,Hope,James Hope,Hope,Hope,Hope,Hope,Hope,James Hope,Hope,Hope
Sheffield Ecclesall,Sir Ellis Ashmead-Bartlett,Sir Ellis Ashmead-Bartlett,Ashmead-Bartlett,Sir Ellis Ashmead-Bartlett,Ashmead-Bartlett,Ashmead-Bartlett,Ashmead-Bartlett,Ashmead-Bartlett,Ashmead-Bartlett,Sir Ellis Ashmead-Bartlett,Roberts,"Sir Samuel Roberts, 1st Bt.",Roberts,"Rt. Hon. Sir Samuel Roberts, 1st Bt.","Sir Samuel Roberts, 1st Bt.",Samuel Roberts,Roberts,Roberts,Roberts,Roberts,"Rt. Hon. Sir Samuel Roberts, 1st Bt.","Sir Samuel Roberts, 1st Bt."
Sheffield Hallam,Charles Stuart Wortley,Charles Beilby Stuart-Wortley,Stuart-Wortley,Stuart-Wortley,Charles Beilby Stuart-Wortley,Charles Stuart Wortley,Charles Beilby Stuart-Wortley,Charles Stuart Wortley,Charles Stuart Wortley,Stuart-Wortley,Charles Beilby Stuart-Wortley,Charles Stuart Wortley,Stuart-Wortley,Charles Stuart Wortley,Stuart-Wortley,Stuart-Wortley,Stuart-Wortley,Stuart-Wortley,Charles Stuart Wortley,Stuart-Wortley,Fisher,Herbert Albert Laurens Fisher
Hallamshire,Mappin,Mappin,Mappin,Mappin,Mappin,Mappin,Mappin,Mappin,Mappin,Mappin,Mappin,Wadsworth,Wadsworth,Wadsworth,→,→,→,→,→,→,→,→
Holmfirth,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,H. Wilson,Arnold,Arnold,Arnold,Arnold,Arnold
