col0,col1,col2,col3,col4
BMA Tower,"Kansas City, Missouri",the U.S.,Bruce Graham,1961
Riverplace Tower,"Jacksonville, Florida",United States,Welton Becket,1967
Irvine Company headquarters,"Newport Beach, California",United States,William Pereira,1968
Mercy Hospital and Medical Center,"Chicago, Illinois",Merica,C.F. Murphy & Associates,1968
John Hancock Center,"Chicago, Illinois",United States,Bruce John Graham,1969
Istra High Voltage Research Center,Moscow,Soviet Union,Moscow Power Engineering Institute,1970
World Trade Center,New York City,United States,Minoru Yamasaki,1971
Willis Tower,"Chicago, Illinois",America,Bruce J. Graham,1973
Marquette Plaza,"Minneapolis, Minnesota",USA,Gunnar Birkerts,1973
Hopkins House,London,United Kingdom,Michael Hopkins and Partners,1976
One US Bank Plaza,"St. Louis, Missouri",United States,"Thompson, Ventulett, Stainback & Associates",1976
Centre Georges Pompidou,Paris,France,Renzo Piano and Richard Rogers,1977
Internationales Congress Centrum Berlin,Berlin,Germany,"Ralf Schüler, Ursulina Schüler-Witte",1979
,Berlin,Germany,,1981
Aon Centre,Wellington,New Zealand,Stephenson & Turner,1983
ARK Dental Clinic Building,Kyoto,Japan,Shin Takamatsu,1983
PHARAOH Dental Clinic Building,Kyoto,Japan,Shin Takamatsu,1984
HSBC Hong Kong headquarters building,Hong Kong,Hong Kong SAR,Norman Foster,1985
Lloyd's Building,London,United Kingdom,Richard Rogers,1986
San Diego Convention Center,San Diego,United States,Arthur Erickson,1989
Bank of China Tower,Hong Kong,Hong Kong SAR,I.M. Pei,1989
Hotel Arts,Barcelona,Spain,Bruce J. Graham,1992
Žižkov TV Tower,Prague,Czech Republic,"Václav Aulický, Jiří Kozák",1992
Mesiniaga Tower,"Subang Jaya, Selangor",Malaysia,Ken Yeang,1992
Petronas Towers,Kuala Lumpur,Malaysia,César Pelli,1993
Lord's Media Centre,London,United Kingdom,Future Systems,1999
Burj Al Arab,Dubai,United Arab Emirates,Tom Wright,1999
,Singapore,Singapore,RDC Architects Pte Ltd,1999
Singapore Expo,Singapore,Singapore,Cox Richardson Rayner,1999
Expo MRT station,Singapore,Singapore,Norman Foster,2001
National Stadium,Singapore,Singapore,Arup,2014
City of Manchester Stadium,Manchester,United Kingdom,Arup,2002
30 St. Mary Axe,London,United Kingdom,Norman Foster,2003
Turning Torso,Malmö,Sweden,Santiago Calatrava,2004
Hearst Tower,New York City,United States,Norman Foster,2004
Torre Glòries,Barcelona,Spain,Jean Nouvel,2005
National Library,Singapore,Singapore,T. R. Hamzah and Yeang,2005
Wembley Stadium,London,United Kingdom,Norman Foster,2006
Leslie L. Dan Pharmacy Building,"Toronto, Ontario",Canada,Norman Foster,2006
Marina Bay Sands,Singapore,Singapore,Moshe Safdie,2010
Diagonal Zero Zero,Barcelona,Spain,Enric Massip-Bosch,2011
Mercury City Tower,Moscow IBC,Russia,Frank Williams,2013
The Leadenhall Building,London,United Kingdom,Rogers + Stirk + Harbour,2013
Raffles City Chongqing,Chongqing,China,Moshe Safdie,2019
Source:,Source:,Source:,Source:,Source:
