col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
2008,Shift,Lexus IS350,GT300,SUZ,OKA,Fuji International Speedway,SEP,SUG,SUZ,MOT,AUT,32nd,3
2009,apr,Toyota Corolla Axio,GT300,OKA,SUZ,FUJ,SEP,SUG,SUZ,Fuji International Speedway,AUT,10th,32
2010,apr,Toyota Corolla Axio,GT300,SUZ,OKA,FUJ,SEP,SUG,SUZ,FUJ,MOT,5th,47
2011,Lexus Team SARD,Lexus SC430,GT500,OKA,Fuji International Speedway,SEP,SUG,SUZ,Fuji International Speedway,AUT,MOT,7th,40
2012,LMP Motorsport,Ferrari F430 GTC,GT300,OKA,FUJ,SEP,SUG,SUZ,Fuji International Speedway,AUT,MOT,21st,7
2013,R&D Sport,Subaru BRZ,GT300,OKA,Fuji International Speedway,SEP,SUG,SUZ,FUJ,Fuji International Speedway,AUT,10th,25
2014,R&D Sport,Subaru BRZ,GT300,OKA,Fuji International Speedway,AUT,SUG,FUJ,SUZ,BUR,MOT,5th,44
2015,R&D Sport,Subaru BRZ,GT300,OKA,FUJ,CHA,FUJ,SUZ,SUG,AUT,MOT,11th,30
2016,R&D Sport,Subaru BRZ,GT300,OKA,Fuji International Speedway,MOT,SUG,FUJ,SUZ,CHA,MOT,6th,47
2017,R&D Sport,Subaru BRZ,GT300,OKA   ret,Fuji International Speedway,AUT,Fuji International Speedway,SUZ,SUG,CHA   ret,MOT   ret,9th,45
2018,R&D Sport,Subaru BRZ,GT300,OKA,Fuji International Speedway,SUZ,CHA,FUJ,SUG,AUT,MOT,8th,37
2019,R&D Sport,Subaru BRZ,GT300,OKA,FUJ,SUZ,CHA,FUJ,AUT,SUG,MOT,18th,18
2020,R&D Sport,Subaru BRZ,GT300,Fuji International Speedway,Fuji International Speedway,SUZ (1),MOT (1),Fuji International Speedway,SUZ (2),MOT (2),FUJ (4),5th,44
2021,R&D Sport,Subaru BRZ GT300,GT300,OKA   15,FUJ   2,SUZ   10,MOT   11,SUG   1,AUT   3,MOT   6,FUJ   3,1st,67
2022,R&D Sport,Subaru BRZ GT300,GT300,OKA,Fuji International Speedway,SUZ,Fuji International Speedway,SUZ,SUG,AUT,MOT,2nd,49.5
2023,R&D Sport,Subaru BRZ GT300,GT300,OKA,Fuji International Speedway,SUZ,Fuji International Speedway,SUZ,SUG,AUT,MOT,8th,40
