col0,col1,col2,col3,col4
Gerrit Schimmelpenninck,Christian,Protestant,Calvinist Christianity,NGK
Jacob de Kempenaer,Christian,Protestant,Reformed faith,Dutch Reformed Church
Johan Rudolph Thorbecke,Christian faith,Protestant,Lutheran,Lutheran Church
Floris Adriaan van Hall,Christian,Protestant,Reformed tradition,Dutch Reformed Church
Justinus van der Brugghen,Christian faith,Protestant,Reformed faith,Walloon Church
Jan Jacob Rochussen,Christian,Protestants,Calvinist,Dutch Reformed Church
Jacob van Zuylen van Nijevelt,Christian,Christian Protestantism,Calvinist,NGK
Schelto van Heemstra,Christian,Protestant,Calvinist,Dutch Reformed Church
Isaäc Dignus Fransen van de Putte,Christian faith,Protestant,Calvinist,Dutch Reformed Church
Julius van Zuylen van Nijevelt,Christian,Protestant,Calvinism,Nederlandse Hervormde Kerk
Pieter Philip van Bosse,Christian faith,Protestant,Reformed,Walloon Church
Gerrit de Vries,Christian,Protestant,Anabaptist,Mennonite Church
Jan Heemskerk,Christian,Protestant Christianity,Arminian,Remonstrant Church
Jan Kappeyne van de Coppello,Christian,Protestant,Calvinist,Nederlandse Hervormde Kerk
Theo van Lynden van Sandenburg,Christian,Protestant Christianity,Calvinist,NGK
Æneas Mackay,Christian,Protestant,Calvinist,Dutch Reformed Church
Gijsbert van Tienhoven,Christian,Protestant,Reformed faith,Dutch Reformed Church
Joan Röell,Christian,Protestant,Calvinist,Reformed Church
Nicolaas Pierson,Christian,Protestant,Calvinist,Dutch Reformed Church
Abraham Kuyper,Christian,Protestant churches,Calvinist,Reformed Churches
Theo Heemskerk,Christian faith,Protestant,Calvinist,Reformed Churches
Pieter Cort van der Linden,Christian,Protestant,Arminian,Remonstrant Church
Charles Ruijs de Beerenbrouck,Christian,Catholicism,Catholicism,Catholic Church
Hendrikus Colijn,Christian,Christian Protestantism,Calvinist,Reformed Churches
Dirk Jan de Geer,Christian,Protestant,Reformed church,Dutch Reformed Church
Pieter Sjoerds Gerbrandy,Christian,Protestant,Reformed church,Reformed Churches
Willem Schermerhorn,Christian,Protestant,Arminian,Remonstrant Church
Louis Beel,Christian,Catholicism,Catholicism,Catholic Church
Jan de Quay,Christian,Catholicism,Catholicism,Catholic Church
Victor Marijnen,Christian,Catholicism,Catholicism,Catholic Church
Jo Cals,Christian,Catholicism,Catholicism,Catholic Church
Jelle Zijlstra,Christian,Protestant,Calvinist,Reformed Churches
Piet de Jong,Christian,Catholicism,Catholicism,Catholic Church
Barend Biesheuvel,Christian,Protestant,Calvinist,Reformed Churches
Dries van Agt,Christian faith,Catholicism,Catholicism,Catholic Church
Ruud Lubbers,Christian,Catholicism,Catholicism,Catholic Church
Jan Peter Balkenende,Christian faith,Protestant,,Protestant Church
Mark Rutte,Christian,Protestant,,Protestant Church
