col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
Carlow,Q2,Q1,Q2,Q1,Q2,Q1,TM,TM,Q1,Q1,Q2,Q1,Q1,Q2,Q1,Q2,Q3,Q1,Q1
Dublin,QF,SF,Q3,QF,QF,SF,SF,QF,QF,SF,W,SF,W,SF,W,W,W,W,W
Kildare,Q3,Q4,Q4,Q1,Q2,Q2,Q2,QF,QF,SF,QF,QF,Q3,Q4,QF,Q3,Q4,S8s,Q3
Laois,Q3,Q3,QF,Q4,QF,QF,Q4,Q3,Q2,Q1,Q2,QF,Q4,Q3,Q1,Q2,Q2,Q4,Q4
Longford,Q1,Q2,Q1,Q3,Q1,Q4,Q2,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q2,Q2,Q1
Louth,Q3,Q2,Q1,Q2,Q3,Q1,Q3,Q1,Q1,Q4,Q1,Q1,Q2,Q1,Q2,Q1,Q1,Q2,Q1
Meath,F,Q4,Q3,Q2,Q3,Q3,SF,Q1,SF,QF,Q3,Q4,Q4,Q4,Q2,Q2,Q3,Q1,S8s
Offaly,Q2,Q2,Q3,Q2,Q1,Q4,TM,Q1,Q1,Q3,Q2,Q1,Q1,Q1,Q2,Q2,Q1,Q2,Q3
Westmeath,QF,Q2,Q1,QF,Q2,QF,Q2,Q2,Q2,Q2,Q1,Q2,Q1,Q1,Q4,Q4,Q2,Q1,Q3
Wexford,Q1,Q1,Q1,Q3,Q2,Q3,Q1,SF,Q2,Q3,Q4,Q2,Q3,Q2,Q2,Q1,Q2,Q1,Q1
Wicklow,Q2,Q2,Q1,Q1,Q1,Q1,TM,TM,Q4,Q1,Q2,Q2,Q1,Q2,Q1,Q1,Q1,Q1,Q1
