col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
2009,Rhino's Leipert Motorsport 1,Ascari KZ1R GT3,OSC1   1,OSC1   2,aka.onenote.com,ASS   2,HOC   1,HOC   2,LAU   1,LAU   2,NÜR   1,NÜR   2,SAC   1,SAC   2,OSC2   1,OSC2   2,17th,12
2011,Callaway Competition,Corvette Z06.R GT3,OSC   1,OSC   2,SAC   1,SAC   2,ZOL   1,ZOL   2,NÜR   1,NÜR   2,Osterreichring,RBR   2,LAU   1,LAU   2,aka.onenote.com,aka.onenote.com,17th,64
2012,Callaway Competition,Corvette Z06.R GT3,OSC   1,OSC   2,ZAN   1,Circuit Zandvoort,SAC   1,SAC   2,Green Hell,Nurburgring,A1-Ring,Osterreichring,LAU   1,LAU   2,NÜR2   1,Nurburgring,2nd,153
2013,Callaway Competition,Corvette Z06.R GT3,OSC   1,OSC   2,Circuit de Spa-Francorchamps,Spa-Francorchamps,SAC   1,SAC   2,Nurburgring,Nurburgring,RBR   1,RBR   2,LAU   1,LAU   2,SVK   1,SVK   2,1st,179
2014,Callaway Competition,Corvette Z06.R GT3,Oschersleben (Bode),Oschersleben (Bode),ZAN   1,ZAN   2,LAU   1,LAU   2,Osterreichring,Österreichring,SLO   1,SLO   2,NÜR   1,Green Hell,SAC   1,SAC   2,3rd,184
2015,Callaway Competition,Corvette Z06.R GT3,Oschersleben (Bode),Oschersleben (Bode),RBR   1,RBR   2,Circuit de Spa-Francorchamps,SPA   2,LAU   1,LAU   2,NÜR   1,The Ring,SAC   1,SAC   2,ZAN   1,ZAN   2,7th,104
2016,Callaway Competition,Corvette C7 GT3-R,OSC   1,Oschersleben (Bode),SAC   1,SAC   2,LAU   1,LAU   2,RBR   1,RBR   2,Green Hell,Nurburgring,ZAN   1,ZAN   2,HOC   1,HOC   2,3rd,152
2017,Callaway Competition,Corvette C7 GT3-R,OSC   1,OSC   2,LAU   1,LAU   2,RBR   1,RBR   2,ZAN   1,ZAN   2,Green Hell,NÜR   2,SAC   1,SAC   2,HOC   1,HOC   2,2nd,123
2018,Callaway Competition,Corvette C7 GT3-R,OSC   1,OSC   2,MST   1,MST   2,Osterreichring,Österreichring,NÜR   1,NÜR   2,ZAN   1,ZAN   2,SAC   1,SAC   2,HOC   1,HOC   2,3rd,123
2019,PROpeak Performance,Aston Martin Vantage AMR GT3,OSC   1,Oschersleben (Bode),MST   1,MST   2,RBR   1,RBR   2,ZAN   1,ZAN   2,Green Hell,NÜR   2,,,,,17th,66
2020,Team Zakspeed BKK Mobil Oil Racing,Mercedes-AMG GT3 Evo,LAU1   1,LAU1   2,Green Hell,NÜR   2,HOC   1,HOC   2,SAC   1,SAC   2,RBR   1,A1-Ring,LAU2   1,LAU2   2,OSC   1,OSC   2,31st,160
2021,Aust Motorsport,Audi R8 LMS Evo,OSC   1,OSC   2,RBR   1,A1-Ring,Circuit Zandvoort,Circuit Zandvoort,LAU   1,LAU   2,SAC   1,SAC   2,HOC   1,HOC   2,Green Hell,Green Hell,34th,15
