col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
1986,Privateer,Renault 5 GT Turbo,MON,SWE,POR,KEN,FRA,GRE,NZL,ARG,FIN,CIV,ITA   RET,GBR,USA,0
1987,Privateer,Peugeot 205 GTI,MON,SWE,POR,KEN,FRA,GRE,USA,NZL,ARG,FIN,CIV,ITA   RET,GBR,0
1988,Peugeot Talbot Sport,Peugeot 309 GTI,MON,SWE,POR,KEN,FRA,GRE,USA,NZL,ARG,FIN,CIV,ITA   12,GBR,0
1989,Peugeot Team Italia,Peugeot 405 Mi16,SWE,MON,POR,KEN,FRA,GRE,NZL,ARG,FIN,AUS,CIV,ITA   RET,GBR,0
1991,Jolly Club,Lancia Delta Integrale 16V,MON,SWE,POR,KEN,FRA,GRE,NZL,ARG,FIN,AUS,ITA   5,CIV,ESP   5,16
1992,Martini Lancia,Lancia Delta HF Integrale,MON,SWE,POR   RET,KEN,FRA   6,GRE,NZL,ARG,FIN,AUS,ITA   1,CIV,ESP   3,39
1993,Jolly Club,Lancia Delta HF Integrale,MON   RET,SWE,POR   3,KEN,FRA   RET,GRE   4,ARG,NZL,FIN,AUS,ITA   RET,ESP,GBR,22
1994,Toyota Castrol Team,Toyota Celica Turbo 4WD,MON,POR   RET,KEN,FRA   3,GRE,ARG,NZL,FIN,,,,,,12
1995,Mitsubishi Ralliart,Mitsubishi Lancer Evolution III,MON   6,SWE,POR,FRA   3,NZL,AUS,ESP   5,GBR,,,,,,26
1997,HF Grifone,Toyota Celica GT-Four ST205,MON,SWE,KEN,POR,ESP,FRA,ARG,GRE,NZL,FIN,INA,ITA   7,AUS,0
1998,HF Grifone,Toyota Corolla WRC,MON,SWE,KEN,POR,ESP,FRA,ARG,GRE,NZL,FIN,ITA   9,AUS,GBR,0
1999,HF Grifone,Toyota Corolla WRC,MON,SWE,KEN,POR,ESP,FRA,ARG,GRE,NZL,FIN,CHN,ITA   5,AUS,2
2000,Ralliart Italia,Mitsubishi Carisma GT,MON,SWE,KEN,POR,ESP,ARG   RET,GRE,NZL,FIN,CYP,FRA,ITA   15,AUS,0
