col0,col1,col2,col3,col4
Adimai Penn,K. Shankar,Em. Gee. Yar. Pictures,K. V. Mahadevan,"M. G. Ramachandran, Jayalalitha, J. P. Chandrababu, Cho, Rajasree, Pandari Bai"
Aindhu Laksham,G. Ramakrishnan,Sudha Movies,S. M. Subbaiah Naidu,"Gemini Ganesan, B. Saroja Devi, Cho, Shylashri, Manorama, Thengai Srinivasan, Sachu"
Akka Thangai,M. A. Thirumugam,Dhandayuthapani Films,Shankar-Ganesh,"Jaishankar, K. R. Vijaya, Sowcar Janaki, Nagesh, Major Sundarrajan, M. Bhanumathi"
Anbalippu,A. C. Tirulokchandar,Kamala Movies,M. S. Viswanathan,"Sivaji Ganesan, Jaishankar, B. Saroja Devi, Vijaya Nirmala, Nagesh, T. R. Ramachandran, Sachu"
Anjal Petti 520,T. N. Balu,Bharath Movies,R. Govardhanam,"Sivaji Ganesan, B. Saroja Devi, Nagesh,Thangavelu, Nambiar, Thengai Seenivasan"
Annaiyum Pithavum,Krishnan-Panju,AVM Productions,M. S. Viswanathan,"A. V. M. Rajan, Vanisri, Sivakumar, Lakshmi, Cho, Manorama, M. Bhanumathi"
Athai Magal,T. R. Ramanna,Dhanabhagyam Pictures,M. S. Viswanathan,"Jaishankar, Vanisri, Nagesh, C. L. Anandan, Suruli Rajan, Kumari Padmini, Pakoda Kadhar, Shylashri"
Avare En Deivam,C. N. Shanmugam,Meenakshi Sundareswar Films,T. R. Pappa,"Gemini Ganesan, Rajasree, C. R. Vijayakumari, R. Muthuraman"
Aayiram Poi,V. Srinivasan,Vidhya Movies,V. Kumar,"Jaishankar, Vanisri, Cho, Manorama,Thengai Seenivasan, M. R. R. Vasu"
Captain Ranjan,T. P. Sundaram,Film Land Productions,"G. Ramanathan, Vedha","Ranjan, Vanaja"
Chella Penn,K. Krishnamurthy,K. K. Films,B. A. Chidambaranathan,"Ravichandran, Kanchana, Nagesh"
Deiva Magan,A. C. Tirulokchandar,Shanthi Films,M. S. Viswanathan,"Sivaji Ganesan, Jayalalitha, Pandari Bai, Vijayasree, Nagesh"
Gurudhakshaneiy,A. P. Nagarajan,Sri Gajalakshmi Films,Pukazhenthi,"Sivaji Ganesan, Padmini, Jayalalitha,K. Balaji,Balaiah,Thangavelu,"
